"","gene_id","gene_name","cor_before","pval_before","cor_after","pval_after","rank_before","rank_after","rank_diff"
"18","ENSMUSG00000032231","Anxa2",-0.391330346101896,3.01628360254038e-31,-0.272713241814918,4.47677922231295e-14,222,108,-114
"19","ENSMUSG00000001473","Tubb6",-0.39100226074725,1.58207812013113e-20,-0.295741594768645,5.32700934178226e-11,324,181,-143
"20","ENSMUSG00000027832","Ptx3",-0.302776877030352,3.46809213564586e-10,-0.0843030075099811,0.271036587212946,577,3880,3303
"21","ENSMUSG00000028480","Glipr2",-0.306489748557285,5.04005980714836e-14,-0.241362683915729,2.8616473630238e-08,448,265,-183
"22","ENSMUSG00000005087","Cd44",-0.389460130935023,1.19913093765624e-15,-0.279424598430749,1.51089106217011e-07,412,312,-100
"23","ENSMUSG00000035373","Ccl7",-0.307126889865656,4.16701614470175e-10,-0.178789529888774,0.00197994803644265,585,913,328
"24","ENSMUSG00000050063","Klk6",-0.466663199702976,4.89090837504295e-38,-0.334855939513522,7.31604041051621e-18,175,71,-104
"25","ENSMUSG00000067586","S1pr3",-0.230107389553456,3.08911278904348e-07,-0.210963938169083,7.76798018532649e-06,779,461,-318
"26","ENSMUSG00000064246","Chil1",-0.207830503203093,7.20034870644974e-09,-0.18897057924889,4.84042488955153e-07,660,358,-302
"27","ENSMUSG00000004891","Nes",-0.479963466529964,6.20090008249376e-27,-0.358151286749967,1.07306509333182e-13,253,121,-132
"28","ENSMUSG00000068699","Flnc",-0.372832087251355,7.61061645358601e-12,-0.282268926476713,1.99215736767797e-06,508,396,-112
"29","ENSMUSG00000032085","Tagln",-0.465572113133193,8.59747738187376e-30,-0.346451095319075,4.47667397483767e-15,234,92,-142
"30","ENSMUSG00000053113","Socs3",-0.199581956519805,0.000276627713002822,-0.169191901843666,0.00477528653628645,1195,1074,-121
"31","ENSMUSG00000064220","Hist2h2aa1",-0.1502209967576,0.000609613128421963,-0.121727170677327,0.0124833308639356,1267,1304,37
"32","ENSMUSG00000029304","Spp1",-0.396883757520604,2.87287781150904e-23,-0.269814735055898,5.32670435939557e-10,292,210,-82
"33","ENSMUSG00000050335","Lgals3",-0.338927334958735,2.03626178457248e-12,-0.359430162315753,1.69248949299557e-13,491,129,-362
"34","ENSMUSG00000022893","Adamts1",-0.272270220534148,6.46552173842189e-08,-0.261195144377349,5.80678322644695e-07,730,363,-367
"35","ENSMUSG00000040212","Emp3",-0.245818665370437,4.58119882083518e-07,-0.209962859311156,5.61393610544679e-05,798,572,-226
"36","ENSMUSG00000028195","Ccn1",-0.357174694265074,1.35841822977772e-08,-0.284665275973805,3.23418434884756e-05,680,537,-143
"37","ENSMUSG00000030681","Mvp",-0.299685096514866,3.21635404486224e-10,-0.256252772101314,3.79610759878981e-07,576,346,-230
"38","ENSMUSG00000046768","Rhoj",-0.256847124838307,1.78151939011958e-05,-0.241870328478081,0.000120144308445181,979,616,-363
"39","ENSMUSG00000002289","Angptl4",-0.2782309901498,1.36795001765438e-07,-0.263818043131498,1.63743405544363e-06,753,387,-366
"40","ENSMUSG00000035493","Tgfbi",-0.38735353531962,8.42248888297861e-13,-0.359123074943501,1.72950571122213e-10,474,199,-275
"41","ENSMUSG00000029641","Rasl11a",-0.293848871872217,6.95518487902867e-08,-0.194672889607179,0.00190896397555128,735,907,172
"42","ENSMUSG00000034855","Cxcl10",-0.309404588399566,3.79087644126584e-07,-0.287017514771888,7.14317005371466e-06,789,452,-337
"43","ENSMUSG00000040663","Clcf1",-0.417670750166075,6.36658592886127e-09,-0.392845851126728,1.73203580141798e-07,655,316,-339
"44","ENSMUSG00000024912","Fosl1",-0.443344425085357,2.58805777412127e-10,-0.36167709754039,1.97078358658931e-06,571,395,-176
"45","ENSMUSG00000053175","Bcl3",-0.228216234148221,0.000574356011797643,-0.197067718380026,0.00636108064426343,1259,1129,-130
"46","ENSMUSG00000022146","Osmr",-0.14151679131161,0.0814468118228719,-0.131880863057974,0.134315604144828,2781,2664,-117
"47","ENSMUSG00000048572","Tmem252",-0.140972513410871,0.0809264149980747,-0.1051870697255,0.275543530903278,2778,3937,1159
"48","ENSMUSG00000028364","Tnc",-0.35866504072961,2.09162402056196e-06,-0.35866504072961,4.22234381720919e-06,864,428,-436
"49","ENSMUSG00000026628","Atf3",-0.358676659554589,6.61797119935471e-07,-0.34248885730974,5.3596812165255e-06,815,442,-373
"50","ENSMUSG00000041974","Spidr",-0.169415541591318,0.0916945857970975,-0.152699902822883,0.168962208870996,2907,2958,51
"51","ENSMUSG00000018927","Ccl6",-0.246484242934272,6.83765778808675e-05,-0.218845014623427,0.000977790581024558,1071,820,-251
"52","ENSMUSG00000021281","Tnfaip2",-0.150071100124052,0.200794273412232,-0.132077680449276,0.312062195703218,3930,4253,323
"53","ENSMUSG00000040298","Btbd16",-0.499988339004121,9.05730937660118e-13,-0.487481270831513,1.35847939019301e-11,475,169,-306
"54","ENSMUSG00000033213","AA467197",-0.15269278109315,0.176716920441101,-0.133731578031532,0.292138297996519,3730,4072,342
"55","ENSMUSG00000029762","Akr1b8",-0.20468092522171,0.0282944299649794,-0.20468092522171,0.0360433221809255,2135,1676,-459
"56","ENSMUSG00000019122","Ccl9",-0.124665332072788,0.210775461884988,-0.0999258791318307,0.386471975537112,4011,5034,1023
"57","ENSMUSG00000061878","Sphk1",-0.19559557096416,0.0632273608029121,-0.188843292094097,0.0927989016307665,2593,2285,-308
"58","ENSMUSG00000047884","Klk9",-0.550362118499846,5.61674967985896e-09,-0.550362118499846,1.42731521276416e-08,648,255,-393
"59","ENSMUSG00000040026","Saa3",-0.134733254185214,0.216211764140239,-0.130134257698471,0.265349204242776,4049,3838,-211
"60","ENSMUSG00000030208","Emp1",-0.376036859034648,1.355257748382e-06,-0.371293475811718,4.03191191920028e-06,845,426,-419
"61","ENSMUSG00000019987","Arg1",-0.42291584082332,4.32640934434463e-05,-0.42291584082332,7.59508873013981e-05,1034,589,-445
"62","ENSMUSG00000056071","S100a9",-0.247215839886927,0.00214575875169198,-0.226425099159424,0.00882094627184168,1450,1207,-243
