"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af","pos"
"52","ENSMUSG00000021281","Tnfaip2","0.0869841468716837","0.167290962925443",6846,7861,1015,-0.158895664386402,-0.13293005224919,2.44202939679731,1.78802068963039,11512
"53","ENSMUSG00000040298","Btbd16","1.29752322478967e-09","2.00215559503455e-08",788,369,-419,-0.437075056252837,-0.418772922472932,20.4628086014035,17.7264563462819,7016
"54","ENSMUSG00000033213","AA467197","0.00738529665873002","0.026144001216629",3981.5,4562,580.5,-0.230910254833613,-0.199116750392747,4.90826419336146,3.64413551376886,1699
"55","ENSMUSG00000029762","Akr1b8","0.0769467424374612","0.0807580432217901",6610.5,6299,-311.5,-0.152590539536378,-0.152590539536378,2.56464175308962,2.51629771537797,5185
"56","ENSMUSG00000019122","Ccl9","0.00106674089074565","0.01064983707732",2842.5,3574,731.5,-0.237419104412312,-0.194271704415933,6.84314717519145,4.54221068484794,10439
"57","ENSMUSG00000061878","Sphk1","0.00685726166301632","0.013602125091983",3925,3804,-121,-0.23805667371151,-0.223572593251699,4.9824470914231,4.29752924168349,10904
"58","ENSMUSG00000047884","Klk9","1.75367191051647e-06","3.30815271762013e-06",1311,694.5,-616.5,-0.468956273335232,-0.468956273335232,13.2537987336678,12.6191206157197,6340
"59","ENSMUSG00000040026","Saa3","0.11802347157826","0.105079927373391",7367.5,6760.5,-607,-0.134941273361098,-0.140900867038725,2.13687176261661,2.25303400532043,6452
"60","ENSMUSG00000030208","Emp1","5.21787552529914e-09","3.70082851927007e-08",852.5,393.5,-459,-0.434424886252602,-0.422860120972358,19.0711755053843,17.1121240252424,5809
"61","ENSMUSG00000019987","Arg1","0.000236064098412533","0.000334792529084441",2272,1601.5,-670.5,-0.378370158944302,-0.378370158944302,8.35140718637327,8.00199953416053,9044
"62","ENSMUSG00000056071","S100a9","1.74476425188468e-05","0.000243015167219482",1644,1506,-138,-0.313600555595708,-0.279647841826898,10.956306017649,8.32238670003048,2620
